"node/261239304",20.9597251,52.2676006,"Aleja Armii Krajowej"
"node/261239332",20.9634938,52.2665569,"Władysława Broniewskiego"
"node/261239345",20.9717849,52.2642635,"Zygmunta Krasińskiego"
"node/261239353",20.9788568,52.2623004,"Krystyny Matysiakówny"
"node/261239386",20.9772002,52.2663121,"Zygmunta Krasińskiego"
"node/261239391",20.9770518,52.266534,"Zygmunta Krasińskiego"
"node/261239406",20.9738383,52.2713685,"Juliusza Słowackiego"
"node/261239409",20.9736777,52.2716144,"Juliusza Słowackiego / Plac Jacka Kuronia"
"node/261239412",20.9735291,52.271827,"Juliusza Słowackiego / Plac Jacka Kuronia"
"node/266863945",21.0214028,52.213402,"Plac Unii Lubelskiej"
"node/282141334",20.9857257,52.2509801,"Aleja Jana Pawła II / Stawki"
"node/282141355",20.9979042,52.2535621,"Muranowska / Generała Władysława Andersa"
"node/282141358",20.993656,52.2538855,"Pokorna"
"node/282141401",20.9978489,52.2538014,"Muranowska / Generała Władysława Andersa"
"node/286630465",21.0599911,52.2584837,"Kawęczyńska"
"node/295659282",20.9840498,52.2528525,"Aleja Jana Pawła II"
"node/300412336",21.0827614,52.2444102,"Giuseppe Garibaldiego / Aleja Jerzego Waszyngtona"
"node/300412697",21.0211219,52.231811,"Rondo Generała Charles'a de Gaulle'a"
"node/300412699",21.0205414,52.2316882,"Rondo Generała Charles'a de Gaulle'a"
"node/301422291",21.0837326,52.2452583,"Rondo Wiatraczna"
"node/301422295",21.0857443,52.2451934,"Rondo Wiatraczna / Grochowska"
"node/302711489",21.0513212,52.2385256,"Aleja Zieleniecka / Rondo Jerzego Waszyngtona / Aleja Księcia Józefa Poniatowskiego"
"node/302711490",21.0513034,52.2384456,"Aleja Zieleniecka / Rondo Jerzego Waszyngtona / Aleja Księcia Józefa Poniatowskiego"
"node/302711539",21.0511687,52.2383034,"Aleja Zieleniecka / Rondo Jerzego Waszyngtona / Aleja Księcia Józefa Poniatowskiego"
"node/303205547",20.992414,52.2319221,"Żelazna"
"node/303205559",20.9846408,52.2300664,"Rondo Ignacego Daszyńskiego"
"node/303205603",20.9880953,52.2260476,""
"node/303205620",20.9894862,52.224981,"Plac Artura Zawiszy"
"node/308117232",20.9830203,52.2181596,"Grójecka"
"node/308117240",20.9849702,52.2192083,"Plac Gabriela Narutowicza"
"node/308117267",20.9852967,52.2210605,"Juliana Ursyna Niemcewicza"
"node/308139016",21.0021289,52.1856091,"Konstruktorska"
"node/308139107",21.0022673,52.1809646,"Antoniego Uniechowskiego"
"node/308945735",20.9981688,52.2333899,"Rondo ONZ"
"node/311764434",20.980294,52.2104145,"Adolfa Pawińskiego"
"node/334556709",21.0418531,52.2589487,"Środkowa / Wileńska"
"node/334556762",21.0420782,52.2606248,"Czynszowa / Stalowa"
"node/338452997",20.9117393,52.2468084,"Powstańców Śląskich"
"node/338452998",20.911422,52.2467776,"Powstańców Śląskich"
"node/339133070",21.0190383,52.1713191,"Smyczkowa"
"node/340352876",20.9712136,52.239095,"Żytnia"
"node/342044576",20.9821197,52.2332658,"Grzybowska"
"node/395501920",20.9629398,52.1956391,""
"node/395613985",20.9580884,52.1900538,"Rondo Jerzego Wojnara"
"node/473279834",21.0208957,52.26343,"Rondo Stefana Starzyńskiego / Most Gdański"
"node/543993437",20.991646,52.2533537,"Stanisława Dubois"
"node/561293409",20.9977206,52.2535857,"Muranowska / Generała Władysława Andersa"
"node/601444720",20.9809751,52.2752822,"Adama Mickiewicza / Potocka"
"node/601444721",20.981315,52.2750326,"Potocka / Adama Mickiewicza"
"node/611224108",20.9857687,52.2510752,"Aleja Jana Pawła II / Stawki"
"node/611224110",20.9856759,52.2510932,"Aleja Jana Pawła II / Stawki"
"node/611224123",20.9977755,52.2537982,"Muranowska / Generała Władysława Andersa"
"node/611255858",20.9855259,52.2691278,"Plac Thomasa Woodrowa Wilsona"
"node/611273048",20.9888597,52.2662876,"Ludwika Mierosławskiego"
"node/611443808",21.0260512,52.2807373,"Świętego Jacka Odrowąża"
"node/611443881",21.0321804,52.2733282,"Staniewicka"
"node/611443916",21.0338578,52.282948,"Matki Teresy z Kalkuty"
"node/611443989",21.0305844,52.288291,"Bartnicza"
"node/611444011",21.0293449,52.2900941,"Poborzańska"
"node/611444065",21.0220434,52.3001336,"Inowłodzka / Annopol"
"node/611444066",21.0220956,52.3001479,"Inowłodzka / Annopol"
"node/611444135",21.0177796,52.3057719,"Odlewnicza"
"node/611444137",21.0178365,52.3057866,"Odlewnicza"
"node/611444155",21.0163092,52.3077274,"Michaela Faradaya"
"node/611444156",21.0163616,52.3077411,"Michaela Faradaya"
"node/611474705",21.0205697,52.2651769,"Zatylna"
"node/611474706",21.0206383,52.2650494,"Zatylna"
"node/611914631",20.9199113,52.257092,"Wrocławska"
"node/611914635",20.9200427,52.2572,"Wrocławska"
"node/611918524",20.9799669,52.2370636,"Rondo Kercelak / Okopowa / Aleja „Solidarności”"
"node/612046584",20.9810015,52.2700929,"Augusta Cieszkowskiego"
"node/614336738",20.9895347,52.224923,"Plac Artura Zawiszy"
"node/614336753",20.9957363,52.2264304,"Plac Sokratesa Starynkiewicza / Żelazna / Aleje Jerozolimskie"
"node/614336759",20.9958893,52.2264635,"Plac Sokratesa Starynkiewicza / Żelazna / Aleje Jerozolimskie"
"node/614336767",21.0015432,52.2276707,"Rondo Czterdziestolatka"
"node/614336772",21.0022826,52.2278286,"Rondo Czterdziestolatka"
"node/614336775",21.0053454,52.2284801,"Emilii Plater"
"node/614336781",21.0056217,52.22854,"Emilii Plater"
"node/614336790",21.0112576,52.2297419,"Rondo Romana Dmowskiego"
"node/614336797",21.0121907,52.2299403,"Rondo Romana Dmowskiego"
"node/614336808",21.0162794,52.2308115,"Krucza"
"node/614336817",21.0205206,52.231712,"Rondo Generała Charles'a de Gaulle'a"
"node/614336825",21.0211093,52.231836,"Rondo Generała Charles'a de Gaulle'a"
"node/614336919",21.0511142,52.2382865,"Aleja Zieleniecka / Rondo Jerzego Waszyngtona / Aleja Księcia Józefa Poniatowskiego"
"node/614465436",21.0901789,52.2449367,"Grochowska"
"node/614465461",21.114182,52.2399246,"Podolska"
"node/614465480",21.0952994,52.2439341,"Wspólna Droga / Grochowska"
"node/614465491",21.1022218,52.2424612,"Grochowska / Józefa Chłopickiego"
"node/614473672",21.0472169,52.2477156,"Aleja Zieleniecka / Targowa"
"node/614473676",21.0472934,52.2476904,"Aleja Zieleniecka / Targowa"
